garage_id,specialization,proficiency_score,years_experience,certifications,equipment_quality,avg_customer_rating_for_this,jobs_completed_count,avg_turnaround_days,price_competitiveness
GAR001,body_work,0.407,1,1,basic,3.55,34,5.23,budget
GAR001,general_repair,0.478,3,0,basic,3.57,253,2.58,budget
GAR001,engine_repair,0.544,2,0,standard,4.0,84,7.12,budget
GAR001,transmission,0.451,3,1,basic,3.76,691,7.26,budget
GAR002,ac_repair,0.56,5,2,standard,4.33,205,3.31,competitive
GAR002,suspension,0.806,21,3,advanced,4.45,433,3.86,competitive
GAR002,electrical,0.502,6,0,basic,4.11,534,3.35,competitive
GAR002,transmission,0.927,26,1,advanced,4.79,1812,6.57,premium
GAR002,engine_repair,0.805,24,2,advanced,4.54,2260,6.76,competitive
GAR003,general_repair,0.87,18,1,standard,4.0,1340,2.43,competitive
GAR003,suspension,0.98,28,1,advanced,4.13,1965,3.79,premium
GAR004,body_work,0.98,21,1,advanced,4.09,1265,4.71,competitive
GAR005,suspension,0.454,1,2,basic,3.73,52,4.19,budget
GAR005,electrical,0.856,18,3,advanced,4.16,733,3.13,competitive
GAR005,transmission,0.552,2,1,basic,3.78,213,7.19,budget
GAR006,suspension,0.662,6,0,standard,4.28,399,4.05,competitive
GAR006,body_work,0.778,4,1,standard,4.36,711,4.94,competitive
GAR007,ac_repair,0.751,3,0,standard,3.81,95,3.21,budget
GAR007,brake_system,0.559,1,1,basic,3.58,42,3.34,budget
GAR008,paint_work,0.794,3,1,standard,3.9,149,4.97,competitive
GAR009,transmission,0.98,21,4,advanced,4.2,2249,6.61,premium
GAR010,paint_work,0.601,5,1,basic,4.25,160,5.12,budget
GAR010,suspension,0.793,18,0,standard,4.45,708,3.93,budget
GAR010,brake_system,0.67,13,1,standard,4.12,211,3.28,budget
GAR010,transmission,0.813,17,2,standard,4.66,991,6.85,budget
GAR011,general_repair,0.932,24,0,standard,4.33,1122,2.41,premium
GAR011,electrical,0.511,2,3,basic,3.76,43,3.42,budget
GAR011,body_work,0.98,29,3,advanced,4.34,1419,4.76,premium
GAR012,general_repair,0.738,15,1,standard,4.04,1615,2.51,competitive
GAR012,paint_work,0.98,24,3,advanced,4.59,2334,4.77,premium
GAR012,brake_system,0.719,15,1,standard,4.12,2863,3.28,competitive
GAR013,ac_repair,0.511,2,2,basic,4.05,159,3.35,budget
GAR013,electrical,0.536,8,1,basic,4.04,85,3.33,budget
GAR013,transmission,0.652,8,1,standard,4.22,437,7.01,budget
GAR013,paint_work,0.622,6,0,standard,4.27,147,5.04,budget
GAR013,brake_system,0.496,7,1,basic,3.81,281,3.36,budget
GAR014,transmission,0.701,7,2,standard,3.74,244,6.97,competitive
GAR014,body_work,0.98,27,0,advanced,4.15,5000,4.68,premium
GAR015,paint_work,0.401,1,1,basic,3.28,108,5.34,budget
GAR015,ac_repair,0.585,4,1,basic,3.66,128,3.34,budget
GAR015,suspension,0.455,5,0,basic,3.51,95,4.22,budget
GAR015,brake_system,0.631,7,1,basic,3.69,225,3.31,budget
GAR016,paint_work,0.98,22,4,advanced,4.59,4805,4.75,premium
GAR016,brake_system,0.925,16,1,standard,4.5,538,3.13,premium
GAR017,general_repair,0.527,7,1,basic,4.05,217,2.57,competitive
GAR017,ac_repair,0.811,17,3,advanced,4.24,1740,3.14,competitive
GAR017,suspension,0.594,7,1,standard,4.13,378,4.05,competitive
GAR017,engine_repair,0.787,18,4,standard,4.26,461,6.8,competitive
GAR018,transmission,0.739,8,2,standard,3.7,422,6.96,budget
GAR018,brake_system,0.53,5,1,basic,3.64,445,3.37,budget
GAR018,body_work,0.596,5,4,basic,3.9,534,5.12,budget
GAR019,electrical,0.709,5,0,standard,3.92,410,3.2,competitive
GAR019,transmission,0.771,5,2,standard,4.2,123,6.81,competitive
GAR020,suspension,0.847,28,2,standard,4.36,2594,3.92,budget
GAR020,body_work,0.797,22,0,standard,4.11,1253,4.96,budget
GAR020,paint_work,0.487,1,4,basic,3.55,46,5.29,budget
GAR020,general_repair,0.621,11,3,basic,3.98,695,2.57,budget
GAR020,brake_system,0.98,28,0,advanced,4.43,2864,3.1,competitive
GAR021,suspension,0.647,12,1,basic,3.93,1460,4.1,budget
GAR021,electrical,0.563,4,1,basic,3.71,117,3.39,budget
GAR021,general_repair,0.816,15,1,standard,4.1,763,2.48,competitive
GAR021,brake_system,0.702,15,3,basic,4.05,667,3.3,competitive
GAR021,engine_repair,0.569,9,2,basic,3.95,497,7.3,budget
GAR022,paint_work,0.698,10,2,standard,3.71,673,5.0,competitive
GAR022,suspension,0.416,2,3,basic,3.22,111,4.24,competitive
GAR022,electrical,0.653,15,0,standard,3.77,1342,3.28,competitive
GAR022,body_work,0.654,19,0,standard,3.78,712,5.04,competitive
GAR023,ac_repair,0.415,1,2,basic,3.27,87,3.39,budget
GAR023,transmission,0.594,3,0,standard,3.88,158,7.04,budget
GAR023,paint_work,0.687,13,1,standard,3.87,417,4.93,budget
GAR023,brake_system,0.539,10,2,standard,3.73,386,3.31,budget
GAR023,engine_repair,0.471,2,2,basic,3.58,45,7.23,budget
GAR024,paint_work,0.882,17,0,advanced,4.22,642,4.73,competitive
GAR024,suspension,0.756,14,2,standard,4.23,518,3.9,budget
GAR025,suspension,0.471,2,0,basic,3.92,111,4.25,budget
GAR025,body_work,0.434,1,0,basic,3.7,45,5.36,budget
GAR025,transmission,0.432,1,2,basic,3.87,70,7.5,budget
GAR025,paint_work,0.795,19,1,standard,4.47,1578,4.97,budget
GAR025,brake_system,0.957,20,0,standard,4.52,1284,3.12,competitive
GAR026,engine_repair,0.83,11,4,standard,4.53,2017,6.79,budget
GAR027,general_repair,0.512,3,0,basic,4.11,266,2.58,budget
GAR027,suspension,0.485,4,1,basic,4.09,158,4.15,budget
GAR027,electrical,0.436,2,1,basic,4.0,41,3.41,budget
GAR027,body_work,0.485,1,0,basic,4.11,27,5.2,budget
GAR028,ac_repair,0.98,22,1,advanced,4.43,5000,3.02,premium
GAR029,ac_repair,0.818,8,1,standard,4.02,368,3.18,competitive
GAR029,suspension,0.655,4,4,standard,3.84,110,4.05,competitive
GAR030,general_repair,0.682,9,1,standard,4.2,545,2.49,budget
GAR030,suspension,0.855,24,0,advanced,4.59,3225,3.83,competitive
GAR030,brake_system,0.738,13,0,standard,4.34,888,3.19,competitive
GAR030,engine_repair,0.911,19,0,advanced,4.31,2066,6.62,premium
GAR031,transmission,0.84,14,3,standard,4.29,698,6.8,budget
GAR032,paint_work,0.638,8,0,basic,3.91,584,5.15,budget
GAR032,suspension,0.908,27,1,standard,4.44,1488,3.89,premium
GAR032,brake_system,0.836,15,0,standard,4.32,871,3.21,competitive
GAR033,brake_system,0.89,17,2,advanced,4.16,1728,3.09,competitive
GAR033,electrical,0.942,22,0,advanced,4.14,2632,3.05,premium
GAR034,paint_work,0.656,14,4,standard,3.69,523,5.05,budget
GAR034,ac_repair,0.74,14,1,standard,3.9,1044,3.22,competitive
GAR034,suspension,0.797,14,3,standard,3.99,239,3.92,competitive
GAR035,paint_work,0.61,1,1,basic,3.52,29,5.1,budget
GAR035,general_repair,0.574,1,1,basic,3.37,18,2.57,budget
GAR035,electrical,0.427,1,1,basic,3.22,66,3.44,budget
GAR036,general_repair,0.78,11,2,standard,4.53,379,2.46,competitive
GAR036,ac_repair,0.929,14,2,advanced,4.71,1673,3.09,premium
GAR037,ac_repair,0.603,4,2,standard,3.56,293,3.29,competitive
GAR038,ac_repair,0.427,3,0,basic,3.53,335,3.4,budget
GAR038,suspension,0.702,12,0,standard,4.05,900,3.95,competitive
GAR038,paint_work,0.831,24,1,advanced,4.11,2791,4.8,competitive
GAR038,electrical,0.876,21,1,advanced,4.23,1397,3.09,competitive
GAR038,general_repair,0.669,14,1,standard,4.0,2341,2.49,budget
GAR039,suspension,0.746,10,1,standard,3.89,431,3.9,competitive
GAR040,paint_work,0.829,10,1,advanced,4.62,293,4.79,competitive
GAR040,electrical,0.604,4,1,standard,4.38,264,3.27,competitive
GAR040,body_work,0.794,13,1,advanced,4.51,1440,4.83,competitive
GAR041,ac_repair,0.486,4,0,basic,3.68,272,3.37,budget
GAR041,paint_work,0.521,8,2,basic,3.48,448,5.15,budget
GAR041,electrical,0.613,12,0,standard,3.65,703,3.28,budget
GAR041,general_repair,0.759,12,2,standard,3.9,937,2.45,competitive
GAR041,engine_repair,0.411,3,3,basic,3.36,177,7.37,budget
GAR042,paint_work,0.713,12,1,standard,3.89,253,4.96,competitive
GAR042,suspension,0.829,19,1,standard,4.21,2324,3.87,competitive
GAR042,electrical,0.664,14,0,standard,4.09,2435,3.26,budget
GAR043,paint_work,0.904,16,1,standard,4.95,244,4.84,premium
GAR043,ac_repair,0.66,7,2,basic,4.44,348,3.31,budget
GAR044,engine_repair,0.719,5,0,standard,4.42,321,7.02,budget
GAR044,body_work,0.774,5,0,standard,4.32,121,4.96,budget
GAR045,general_repair,0.573,3,1,basic,3.58,187,2.6,budget
GAR045,electrical,0.711,9,0,basic,3.91,444,3.29,budget
GAR045,engine_repair,0.656,6,1,basic,3.71,235,7.17,budget
GAR046,ac_repair,0.624,4,2,standard,4.0,250,3.3,budget
GAR046,electrical,0.581,3,0,basic,3.97,344,3.33,budget
GAR046,transmission,0.555,4,0,basic,3.95,238,7.22,budget
GAR046,general_repair,0.638,4,4,standard,4.0,274,2.53,budget
GAR046,brake_system,0.492,2,1,basic,3.71,119,3.39,budget
GAR047,suspension,0.477,2,1,basic,3.66,50,4.21,budget
GAR047,body_work,0.478,1,0,basic,3.63,130,5.26,budget
GAR047,paint_work,0.633,7,1,basic,4.11,1469,5.09,budget
GAR047,transmission,0.696,11,2,standard,4.19,240,7.04,budget
GAR047,general_repair,0.541,3,1,basic,3.83,252,2.59,budget
GAR048,transmission,0.98,22,2,standard,4.61,714,6.73,premium
GAR049,ac_repair,0.614,2,0,basic,4.05,263,3.35,budget
GAR049,brake_system,0.879,6,3,standard,4.33,396,3.16,competitive
GAR050,general_repair,0.928,13,1,advanced,4.46,873,2.37,premium
GAR050,paint_work,0.593,5,3,basic,3.78,852,5.1,budget
GAR051,ac_repair,0.802,17,1,standard,3.97,521,3.18,competitive
GAR051,suspension,0.688,12,2,standard,3.7,573,4.01,budget
GAR051,transmission,0.582,1,1,basic,3.65,54,7.17,budget
GAR052,paint_work,0.49,1,0,basic,3.79,37,5.24,budget
GAR052,general_repair,0.675,7,3,standard,4.26,1210,2.52,budget
GAR052,engine_repair,0.56,1,1,basic,4.04,73,7.22,budget
GAR052,transmission,0.433,3,1,basic,3.9,70,7.42,budget
GAR053,suspension,0.626,10,2,standard,4.4,157,4.06,budget
GAR053,engine_repair,0.557,2,2,basic,4.31,69,7.21,budget
GAR053,transmission,0.798,10,2,standard,4.36,415,6.85,budget
GAR054,ac_repair,0.74,9,3,standard,4.07,449,3.2,budget
GAR054,body_work,0.63,16,2,standard,4.03,942,5.04,budget
GAR054,transmission,0.601,17,1,standard,4.01,712,7.1,budget
GAR054,brake_system,0.692,19,2,standard,4.23,1343,3.23,budget
GAR054,engine_repair,0.62,11,0,standard,3.79,530,7.07,budget
GAR055,body_work,0.656,11,4,standard,3.48,903,5.0,budget
GAR055,paint_work,0.505,3,1,basic,3.18,154,5.17,budget
GAR055,transmission,0.718,18,1,standard,3.82,1279,6.91,competitive
GAR055,general_repair,0.882,22,1,advanced,3.89,939,2.38,premium
GAR055,brake_system,0.747,22,2,standard,3.67,657,3.19,competitive
GAR056,general_repair,0.773,10,1,standard,4.1,238,2.48,competitive
GAR056,brake_system,0.759,10,2,standard,3.93,1333,3.23,competitive
GAR057,general_repair,0.514,3,4,basic,3.58,256,2.61,budget
GAR057,paint_work,0.685,6,4,standard,3.86,151,5.05,budget
GAR057,body_work,0.552,3,1,basic,3.48,92,5.19,budget
GAR058,electrical,0.98,30,0,advanced,4.33,1227,3.07,competitive
GAR058,body_work,0.98,19,4,advanced,4.54,1056,4.72,competitive
GAR059,transmission,0.6,6,0,standard,3.6,446,7.04,budget
GAR059,suspension,0.593,5,0,standard,3.61,268,4.03,budget
GAR059,body_work,0.657,4,1,standard,3.93,234,4.97,budget
GAR060,body_work,0.749,2,0,standard,4.08,77,4.93,competitive
GAR060,transmission,0.667,1,2,standard,3.84,49,7.03,competitive
GAR061,ac_repair,0.607,4,0,basic,4.17,441,3.32,budget
GAR061,body_work,0.662,15,2,standard,4.3,1854,5.05,budget
GAR061,transmission,0.784,14,1,standard,4.58,614,6.89,budget
GAR061,paint_work,0.719,14,1,standard,4.45,417,4.99,budget
GAR061,engine_repair,0.613,10,1,basic,4.25,1157,7.15,budget
GAR062,ac_repair,0.877,22,2,standard,4.29,1834,3.16,competitive
GAR062,suspension,0.723,18,0,standard,4.05,538,4.01,budget
GAR062,brake_system,0.585,8,1,basic,3.86,666,3.36,budget
GAR062,engine_repair,0.55,6,0,basic,3.88,372,7.28,budget
GAR063,general_repair,0.497,7,0,basic,4.04,407,2.64,budget
GAR063,ac_repair,0.501,5,5,basic,4.24,211,3.43,budget
GAR063,suspension,0.566,9,0,basic,4.28,1364,4.17,budget
GAR063,transmission,0.457,1,2,basic,4.05,43,7.47,budget
GAR064,suspension,0.809,16,3,standard,4.42,351,3.96,competitive
GAR064,brake_system,0.763,12,2,standard,4.42,2652,3.25,competitive
GAR064,electrical,0.74,16,4,standard,4.2,303,3.26,competitive
GAR065,electrical,0.85,13,3,advanced,4.07,185,3.08,competitive
GAR065,body_work,0.96,18,3,advanced,4.36,497,4.62,premium
GAR066,suspension,0.509,4,0,standard,3.63,218,4.08,budget
GAR066,electrical,0.554,8,2,standard,3.56,191,3.29,budget
GAR066,transmission,0.547,10,2,standard,3.62,969,7.09,budget
GAR066,paint_work,0.645,5,0,standard,3.83,160,4.96,budget
GAR066,engine_repair,0.425,1,0,basic,3.59,65,7.28,budget
GAR067,brake_system,0.98,30,3,advanced,4.32,5000,3.01,premium
GAR068,general_repair,0.76,10,1,standard,4.16,330,2.45,competitive
GAR068,ac_repair,0.931,15,0,advanced,4.38,721,3.07,premium
GAR069,paint_work,0.697,13,1,basic,4.17,801,5.1,budget
GAR069,ac_repair,0.813,17,0,standard,4.21,307,3.23,competitive
GAR069,brake_system,0.644,12,1,basic,4.08,859,3.35,budget
GAR069,electrical,0.605,7,0,basic,4.04,130,3.37,budget
GAR070,general_repair,0.942,18,3,advanced,4.58,1238,2.39,premium
GAR071,paint_work,0.946,23,2,advanced,4.86,616,4.68,premium
GAR071,suspension,0.98,26,5,advanced,5.0,1706,3.72,premium
GAR072,general_repair,0.557,4,0,basic,3.69,102,2.64,budget
GAR072,brake_system,0.631,3,2,basic,3.85,70,3.38,budget
GAR072,transmission,0.585,3,2,basic,3.95,465,7.35,budget
GAR073,general_repair,0.453,2,3,basic,3.69,97,2.63,budget
GAR073,suspension,0.496,2,3,basic,3.65,53,4.17,budget
GAR073,brake_system,0.573,5,0,basic,4.06,240,3.33,budget
GAR073,electrical,0.556,5,1,basic,3.87,728,3.35,budget
GAR074,ac_repair,0.767,4,1,standard,3.82,193,3.23,competitive
GAR074,electrical,0.71,1,3,standard,3.93,42,3.27,competitive
GAR075,brake_system,0.641,6,2,basic,3.74,258,3.34,budget
GAR075,transmission,0.98,20,1,standard,4.27,204,6.7,premium
GAR076,brake_system,0.728,8,0,standard,4.1,1006,3.23,budget
GAR076,body_work,0.724,8,2,standard,4.43,422,4.98,budget
GAR077,suspension,0.741,9,1,basic,4.01,427,4.04,competitive
GAR078,general_repair,0.98,22,3,advanced,4.38,1112,2.36,premium
GAR078,body_work,0.98,17,4,advanced,4.22,913,4.71,premium
GAR079,ac_repair,0.457,1,1,basic,3.63,94,3.52,budget
GAR079,suspension,0.465,3,1,basic,3.55,180,4.32,budget
GAR079,electrical,0.569,3,2,basic,3.64,63,3.44,budget
GAR079,paint_work,0.4,2,0,basic,3.18,34,5.48,budget
GAR079,brake_system,0.559,2,0,basic,3.63,123,3.45,budget
GAR080,ac_repair,0.98,25,2,advanced,4.85,1487,3.05,premium
GAR081,ac_repair,0.937,19,0,advanced,4.26,1504,3.08,premium
GAR081,transmission,0.784,6,2,standard,4.11,419,6.86,competitive
GAR082,engine_repair,0.765,7,3,standard,3.87,310,6.88,competitive
GAR083,general_repair,0.566,2,1,standard,3.57,53,2.52,competitive
GAR083,ac_repair,0.627,5,0,standard,3.7,253,3.24,competitive
GAR083,engine_repair,0.597,7,0,standard,3.67,463,7.02,competitive
GAR083,body_work,0.65,6,2,standard,3.77,332,4.96,competitive
GAR084,ac_repair,0.742,12,3,standard,3.77,1193,3.18,competitive
GAR084,brake_system,0.605,7,1,standard,3.61,327,3.27,budget
GAR084,electrical,0.646,9,1,standard,3.45,737,3.24,budget
GAR085,general_repair,0.798,6,1,standard,4.09,91,2.49,competitive
GAR085,electrical,0.588,3,0,basic,3.65,103,3.38,budget
GAR086,body_work,0.508,2,0,basic,3.72,37,5.29,budget
GAR086,electrical,0.512,2,3,basic,3.85,121,3.43,budget
GAR086,transmission,0.486,2,0,basic,3.82,83,7.43,budget
GAR086,paint_work,0.699,5,0,basic,4.06,201,5.08,budget
GAR086,brake_system,0.446,1,0,basic,3.75,44,3.48,budget
GAR087,paint_work,0.583,11,2,standard,3.89,947,5.08,budget
GAR087,transmission,0.696,13,1,standard,3.92,748,6.95,budget
GAR087,brake_system,0.499,1,1,basic,3.63,70,3.36,budget
GAR087,body_work,0.754,16,1,standard,4.3,623,4.9,competitive
GAR088,ac_repair,0.598,2,1,basic,3.93,82,3.34,competitive
GAR088,body_work,0.816,9,1,standard,4.16,764,4.91,competitive
GAR089,general_repair,0.828,16,2,standard,3.96,1210,2.48,competitive
GAR089,suspension,0.754,17,3,standard,4.07,1588,4.02,competitive
GAR089,electrical,0.59,2,1,basic,3.86,70,3.38,budget
GAR090,paint_work,0.591,7,1,basic,3.72,739,5.14,budget
GAR090,ac_repair,0.959,22,2,advanced,4.31,1402,3.09,competitive
GAR090,brake_system,0.823,18,4,standard,4.08,787,3.18,budget
GAR091,ac_repair,0.604,2,1,standard,3.88,37,3.23,competitive
GAR091,suspension,0.518,3,0,standard,3.83,106,4.04,competitive
GAR091,body_work,0.532,3,3,standard,3.87,153,5.04,competitive
GAR091,electrical,0.487,2,1,standard,3.51,63,3.31,competitive
GAR091,paint_work,0.491,3,0,standard,3.65,80,5.08,competitive
GAR092,general_repair,0.704,16,2,basic,4.16,967,2.53,competitive
GAR092,paint_work,0.978,28,3,advanced,4.76,933,4.77,premium
GAR092,brake_system,0.856,28,0,standard,4.29,2080,3.18,competitive
GAR092,engine_repair,0.956,28,0,standard,4.58,1796,6.71,premium
GAR093,ac_repair,0.891,28,0,standard,4.5,1225,3.13,premium
GAR093,suspension,0.572,9,2,basic,4.38,409,4.13,budget
GAR093,paint_work,0.849,19,3,standard,4.6,682,4.86,competitive
GAR093,general_repair,0.788,22,1,standard,4.46,1628,2.46,competitive
GAR093,brake_system,0.755,23,2,standard,4.18,1920,3.23,competitive
GAR094,electrical,0.453,1,0,basic,3.75,31,3.37,budget
GAR094,transmission,0.607,1,2,standard,3.8,89,7.03,budget
GAR094,general_repair,0.531,1,1,standard,3.92,40,2.55,budget
GAR094,brake_system,0.4,1,0,basic,3.64,25,3.41,budget
GAR094,engine_repair,0.455,1,0,basic,3.7,31,7.26,budget
GAR095,brake_system,0.793,13,1,standard,4.2,584,3.22,competitive
GAR095,engine_repair,0.98,21,3,advanced,4.66,994,6.65,premium
GAR096,general_repair,0.504,2,1,basic,3.92,149,2.61,budget
GAR096,brake_system,0.572,2,1,basic,4.08,87,3.35,budget
GAR096,body_work,0.445,1,0,basic,3.87,87,5.29,budget
GAR097,paint_work,0.941,20,1,advanced,4.38,1335,4.68,premium
GAR097,brake_system,0.847,12,1,advanced,4.51,423,3.11,competitive
GAR098,general_repair,0.62,7,0,standard,4.26,268,2.54,budget
GAR098,suspension,0.541,2,0,basic,4.2,168,4.12,budget
GAR098,transmission,0.624,4,2,standard,4.39,100,7.1,budget
GAR099,ac_repair,0.927,19,4,advanced,4.4,1133,3.11,premium
GAR099,brake_system,0.789,10,2,standard,4.18,337,3.21,competitive
GAR100,brake_system,0.608,1,1,basic,4.04,56,3.31,competitive
GAR100,engine_repair,0.588,1,0,basic,3.98,88,7.15,competitive
